,Unnamed: 0,artist_name,track_uri,artist_uri,name,album_uri,duration_ms,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track_popularity,id,popularity,id_artists,release_date,key,mode,time_signature
10,125,The Middle East,spotify:track:5eeMft4YZx0Xdf9yJPNZJY,spotify:artist:6imbHAlhHrFwtsOgqpeBK2,Blood,spotify:album:0s8tM3NW7sgDmP6B3Cn6I6,326920,Recordings Of The Middle East,0.0984,0.473,0.478,0.0747,0.118,-8.585,0.0282,79.043,0.116,0.0,5eeMft4YZx0Xdf9yJPNZJY,47,['6imbHAlhHrFwtsOgqpeBK2'],2009-01-01,11,1,4
11,141,The Paper Kites,spotify:track:41yIvlFgvGwxq8qTqAR7eG,spotify:artist:79hrYiudVcFyyxyJW0ipTy,Bloom - Bonus Track,spotify:album:5l8axHOB8sCsWqfK5XVtbF,210080,Woodland - EP,0.882,0.592,0.416,0.000586,0.112,-9.794,0.0246,96.002,0.417,0.0,41yIvlFgvGwxq8qTqAR7eG,75,['79hrYiudVcFyyxyJW0ipTy'],2013-03-05,1,1,4
12,172,Family and Friends,spotify:track:4F9jpNQDKRFoyM4Ebpni6S,spotify:artist:2AmW5LU0vqfHoN2qvghRFe,Amadeus,spotify:album:1SX20zgyjlyqjHSzOTmqxf,207519,XOXO,0.183,0.428,0.724,0.000136,0.251,-7.264,0.0434,146.917,0.184,0.0,4F9jpNQDKRFoyM4Ebpni6S,61,['2AmW5LU0vqfHoN2qvghRFe'],2015-07-17,11,0,4
13,177,RHODES,spotify:track:5MzXUNfn8AAcz4Z6j2KgTK,spotify:artist:07FfkbljNIdl45Ijlh1aXS,Let It All Go,spotify:album:3CV2SCBs7wAUoQbmnjQbwa,280757,Wishes (Deluxe Version),0.817,0.383,0.43,1.04e-06,0.0869,-8.644,0.0302,107.005,0.174,0.0,5MzXUNfn8AAcz4Z6j2KgTK,56,"['07FfkbljNIdl45Ijlh1aXS', '2WX2uTcsvV5OnS0inACecP']",2015-09-18,10,1,4
14,177,RHODES,spotify:track:5MzXUNfn8AAcz4Z6j2KgTK,spotify:artist:07FfkbljNIdl45Ijlh1aXS,Let It All Go,spotify:album:3CV2SCBs7wAUoQbmnjQbwa,280757,Wishes (Deluxe Version),0.817,0.383,0.43,1.04e-06,0.0869,-8.644,0.0302,107.005,0.174,0.0,3KFPdcl0YlsBYsoqdne3cU,47,"['2WX2uTcsvV5OnS0inACecP', '07FfkbljNIdl45Ijlh1aXS']",2016-03-25,10,1,4
15,210,Vera Blue,spotify:track:6vITFXjXN3i1VwWI1iv3fc,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,Hold,spotify:album:0V6P8zzga41xlAM7YWF7pO,246147,Fingertips,0.121,0.315,0.491,3.04e-05,0.142,-5.664,0.0346,120.094,0.181,21.0,6vITFXjXN3i1VwWI1iv3fc,53,['5ujrA1eZLDHR7yQ6FZa2qA'],2016-05-13,6,0,4
16,223,Two Feet,spotify:track:17txou7v6Jxrwm4SGBKdBu,spotify:artist:5sWHDYs0csV6RS48xBl0tH,Her Life,spotify:album:1IH1Oz8jD4hyN3eg8aHdjv,168000,First Steps,0.288,0.74,0.415,0.534,0.103,-11.429,0.0594,89.997,0.153,34.0,3lML37ujKr8GdxQqCYkCoz,62,['5sWHDYs0csV6RS48xBl0tH'],2016-07-29,0,1,4
17,229,Tycho,spotify:track:6koWevx9MqN6efQ6qreIbm,spotify:artist:5oOhM2DFWab8XhSdQiITry,A Walk,spotify:album:3I3PmRvn5iFY8i6zzvEcci,316919,Dive,0.329,0.659,0.716,0.909,0.127,-7.816,0.0317,139.952,0.382,0.0,6koWevx9MqN6efQ6qreIbm,57,['5oOhM2DFWab8XhSdQiITry'],2011-10-04,9,1,4
18,232,Touch Sensitive,spotify:track:4UVIFaLeqgi4aAUWeStoMu,spotify:artist:2OC53Inn0G9QwWM7CM0G5Z,Pizza Guy,spotify:album:2IzDJQS4NIB74h8YNUwIqz,349413,Pizza Guy / Show Me,0.00213,0.629,0.81,0.653,0.264,-5.101,0.0264,105.996,0.287,35.0,1bq6eYt2tdB5rSkwXgiwgD,58,['2OC53Inn0G9QwWM7CM0G5Z'],2014-04-19,4,0,4
19,237,Yoke Lore,spotify:track:5bs5GopDitBx9xjoHHRDoo,spotify:artist:7FU0xCgmSYQEiBeevUqQ4S,Beige,spotify:album:0rwRaoJxFBwrVzdGFMXYQ8,204213,Goodpain,0.393,0.47,0.67,0.041,0.117,-7.526,0.0783,83.856,0.219,64.0,5bs5GopDitBx9xjoHHRDoo,54,['7FU0xCgmSYQEiBeevUqQ4S'],2017-06-16,10,1,4
20,254,Zion I,spotify:track:2FhN2KhUvT91Q3Er4v9Qpd,spotify:artist:3LLs28LJVlXAjWc8UDkcQZ,Coastin',spotify:album:7iejcDJHuoqeWOtewsIXI1,266440,The Take Over,0.0333,0.811,0.678,0.00123,0.105,-7.357,0.0561,91.976,0.426,45.0,2FhN2KhUvT91Q3Er4v9Qpd,50,"['3LLs28LJVlXAjWc8UDkcQZ', '0pCNk4D3E2xtszsm6hMsWr']",2009-02-09,8,1,4
21,256,Mac Miller,spotify:track:6GnhWMhgJb7uyiiPEiEkDA,spotify:artist:4LLpKhyESsyAXpc4laK94U,Weekend (feat. Miguel),spotify:album:2Tyx5dLhHYkx6zeAdVaTzN,208080,GO:OD AM,0.47,0.843,0.435,0.0,0.147,-8.442,0.178,120.058,0.19,32.0,6GnhWMhgJb7uyiiPEiEkDA,77,"['4LLpKhyESsyAXpc4laK94U', '360IAlyVv4PCEVjgyMZrxK']",2015-09-18,8,1,4
22,263,K.Flay,spotify:track:1qwno7xb5mJe71xtMS6jl2,spotify:artist:0pCNk4D3E2xtszsm6hMsWr,High Enough,spotify:album:4QwcXvqLh5Yj35wBt2DnTr,231600,Every Where Is Some Where,0.0301,0.606,0.62,0.0916,0.167,-5.005,0.0298,88.984,0.543,0.0,1qwno7xb5mJe71xtMS6jl2,71,['0pCNk4D3E2xtszsm6hMsWr'],2017-04-07,0,1,4
23,269,Dropkick Murphys,spotify:track:0feUtqIZb2P9Q8HW8tLcXx,spotify:artist:7w9jdhcgHNdiPeNPUoFSlx,Rose Tattoo,spotify:album:0Nawik6h8ZAtiao1Wc2jo6,306520,SIGNED and SEALED in BLOOD,0.0219,0.323,0.912,0.0,0.373,-2.059,0.0425,108.084,0.609,67.0,4bLKGUkVRxIyrN1770DdDm,60,['7w9jdhcgHNdiPeNPUoFSlx'],2013-01-08,9,0,4
24,276,Flogging Molly,spotify:track:4HmWMHOYSwxgnnNKG8thuD,spotify:artist:5kQGFREO5FzMBMsAO3cEtj,Devil’s Dance Floor,spotify:album:7Jj1zGBtvK00r417boBIEj,239653,Swagger,0.0355,0.47,0.917,0.000573,0.0515,-6.331,0.0538,144.775,0.894,71.0,4HmWMHOYSwxgnnNKG8thuD,41,['5kQGFREO5FzMBMsAO3cEtj'],2000-01-01,7,1,4
25,278,Rise Against,spotify:track:3asFGFY3uLjMDmML1p0tYm,spotify:artist:6Wr3hh341P84m3EI8qdn9O,Savior,spotify:album:3smHEWBKoqDUFuJrV8BCg1,242280,Appeal To Reason,0.0015,0.339,0.931,0.000142,0.425,-3.425,0.062,112.548,0.467,27.0,3asFGFY3uLjMDmML1p0tYm,69,['6Wr3hh341P84m3EI8qdn9O'],2008-01-01,5,0,4
26,279,Flogging Molly,spotify:track:3dtVKmxWGhAB9CLnHHS3Nm,spotify:artist:5kQGFREO5FzMBMsAO3cEtj,Drunken Lullabies,spotify:album:4BbJ5NKPiICpTrGo1YmQmO,230640,Drunken Lullabies,0.00152,0.386,0.966,0.0248,0.0791,-4.258,0.0716,155.991,0.861,0.0,3dtVKmxWGhAB9CLnHHS3Nm,46,['5kQGFREO5FzMBMsAO3cEtj'],2002-01-01,7,1,4
27,281,Tom Petty,spotify:track:7MooGz4ZPE4bNxjFegR6Jx,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,You Don't Know How It Feels,spotify:album:3ZGUBwDiY5HPOcWv4SBPQg,289440,Wildflowers,0.119,0.765,0.502,0.0011,0.171,-7.393,0.0321,144.204,0.836,38.0,7MooGz4ZPE4bNxjFegR6Jx,66,['2UZMlIwnkgAEDBsw1Rejkn'],1994-10-21,9,1,4
28,293,Jonathan Richman,spotify:track:4axPxMZwpzQWjcNjv1JOP6,spotify:artist:6hkch2KhRl0tywpeVK5xR5,Parties In The U.S.A.,spotify:album:2RtcqYl0VAhDw9DPMEqWF5,283893,"I, Jonathan",0.883,0.824,0.273,0.075,0.115,-17.147,0.0564,114.713,0.928,71.0,4axPxMZwpzQWjcNjv1JOP6,44,['6hkch2KhRl0tywpeVK5xR5'],1992-01-01,2,1,4
29,300,The Beach Boys,spotify:track:1QL2yb3tD2zF5I1NAYH3mD,spotify:artist:3oDbviiivRWhXwIE8hxkVV,Little Honda (Stereo),spotify:album:6GnzWMUyNEETCq6eftD98v,114333,All Summer Long,0.203,0.429,0.556,0.0,0.126,-9.78,0.032,151.1,0.766,64.0,1QL2yb3tD2zF5I1NAYH3mD,34,['3oDbviiivRWhXwIE8hxkVV'],1964-07-13,1,1,4
30,317,John Mellencamp,spotify:track:0lqfBvf1Gqmmt3l5Qeirlm,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,R.O.C.K. In The U.S.A. (A Salute To 60's Rock),spotify:album:1BYEhfr8qQGNhbqPAbfnxk,174360,Scarecrow,0.00943,0.432,0.958,2.79e-06,0.227,-4.009,0.0819,164.018,0.874,73.0,0lqfBvf1Gqmmt3l5Qeirlm,63,['3lPQ2Fk5JOwGWAF3ORFCqH'],1985,9,1,4
31,321,"Ray Parker, Jr.",spotify:track:5PIB8aoUJoCRh1O5TEGdOj,spotify:artist:0NyzfcGDZZ6GM25EBG9BYK,Ghostbusters,spotify:album:3aH85xKqZAvMN4ianCIooq,240800,Arista Heritage Series: Ray Parker,0.0125,0.779,0.717,0.0536,0.355,-9.7,0.0335,115.384,0.789,63.0,5PIB8aoUJoCRh1O5TEGdOj,34,['0NyzfcGDZZ6GM25EBG9BYK'],2000,6,0,4
32,343,The Kingsmen,spotify:track:0iA3xXSkSCiJywKyo1UKjQ,spotify:artist:2iIn8H3l2NNBNHFpYKWbfo,Louie Louie,spotify:album:2SMBIc9VqCmLvWAd9srlSx,165381,The Best of The Kingsmen,0.102,0.623,0.709,0.0,0.0967,-9.818,0.0636,122.394,0.948,64.0,0iA3xXSkSCiJywKyo1UKjQ,67,['2iIn8H3l2NNBNHFpYKWbfo'],2006-01-31,1,0,4
33,346,Tom Petty and the Heartbreakers,spotify:track:7MRyJPksH3G2cXHN8UKYzP,spotify:artist:4tX2TplrkIP4v05BNC903e,American Girl,spotify:album:6TLTd0P2CUI0Q29AQ1LyFi,214733,Tom Petty & The Heartbreakers,0.448,0.55,0.824,0.000127,0.366,-5.988,0.0334,114.512,0.777,82.0,7MRyJPksH3G2cXHN8UKYzP,75,['4tX2TplrkIP4v05BNC903e'],1976-11-09,2,1,4
34,349,Bryan Adams,spotify:track:6N1EjQjnvhOjFrF6oUmGPa,spotify:artist:3Z02hBLubJxuFJfhacLSDc,Summer Of '69,spotify:album:6ih2A54bXvPGnYkoesPX0Y,216973,Reckless,0.0115,0.505,0.71,2.58e-06,0.0977,-10.853,0.0371,138.907,0.771,76.0,6N1EjQjnvhOjFrF6oUmGPa,50,['3Z02hBLubJxuFJfhacLSDc'],1984-01-01,2,1,4
35,353,The Doors,spotify:track:5uvosCdMlFdTXhoazkTI5R,spotify:artist:22WZ7M8sxp5THdruNY3gXt,Light My Fire,spotify:album:1jWmEhn3ggaL6isoyLfwBn,429760,The Doors,0.369,0.413,0.725,2.16e-05,0.0905,-5.787,0.0324,124.618,0.44,64.0,5uvosCdMlFdTXhoazkTI5R,74,['22WZ7M8sxp5THdruNY3gXt'],1967-01-04,3,0,4
36,355,Tom Petty,spotify:track:5tVA6TkbaAH9QMITTQRrNv,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,Free Fallin',spotify:album:5d71Imt5CIb7LpQwDMQ093,256000,Full Moon Fever,0.212,0.623,0.449,0.0,0.0613,-13.333,0.0253,84.383,0.572,32.0,5tVA6TkbaAH9QMITTQRrNv,79,['2UZMlIwnkgAEDBsw1Rejkn'],1989-01-01,5,1,4
37,361,Tom Petty,spotify:track:7gSQv1OHpkIoAdUiRLdmI6,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,I Won't Back Down,spotify:album:5d71Imt5CIb7LpQwDMQ093,178360,Full Moon Fever,0.0504,0.765,0.476,2.76e-06,0.165,-13.487,0.0329,114.02,0.965,7.0,7gSQv1OHpkIoAdUiRLdmI6,74,['2UZMlIwnkgAEDBsw1Rejkn'],1989-01-01,7,1,4
38,362,The Rolling Stones,spotify:track:77oU2rjC5XbjQfNe3bD6so,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,Beast Of Burden - Remastered,spotify:album:1Jv2AqzhgsduUik2p4k3cS,265173,Some Girls,0.39,0.783,0.878,0.000778,0.0426,-3.864,0.0308,100.626,0.885,21.0,0edUnMfNXLZ313pWjA5u8c,34,['22bE4uQ6baNwSHPVcDxLCe'],1978-06-09,1,0,4
39,367,Manfred Mann,spotify:track:7gEpTMp9MQc1uJwivtL37R,spotify:artist:5670CyWrIOA7702gNjsGMZ,Do Wah Diddy Diddy,spotify:album:24uIWywoZqArplgomqtvfW,143400,Groovin' with Manfred Mann,0.262,0.661,0.557,0.0,0.0557,-8.244,0.049,125.445,0.957,41.0,7ko2240lyr2DngGin6Fx37,48,['5670CyWrIOA7702gNjsGMZ'],1966-01-01,4,1,4
40,368,Jonathan Richman & The Modern Lovers,spotify:track:2hOId5iamZtddQ0n0hMKqA,spotify:artist:0NjdXlUziaK1qv3kgZV4Jy,Ice Cream Man,spotify:album:1GS9e5DqsnGJ8qYlr4eYxm,182440,Rock 'n' Roll With the Modern Lovers,0.111,0.606,0.347,0.0,0.469,-9.858,0.0257,98.372,0.654,31.0,2hOId5iamZtddQ0n0hMKqA,34,['0NjdXlUziaK1qv3kgZV4Jy'],1977-01-01,9,1,4
41,371,Steve Winwood,spotify:track:4OZbWCJ3xPqWiIzxeNltq6,spotify:artist:5gxynDEKwNDgxGJmJjZyte,Higher Love,spotify:album:7pb6V5cRrsPzgeLQRaUA8U,243920,Music Of The Year - 1986/Compilation,0.0236,0.7,0.811,0.0842,0.0537,-10.599,0.0382,98.646,0.939,51.0,4OZbWCJ3xPqWiIzxeNltq6,51,['5gxynDEKwNDgxGJmJjZyte'],2001-01-01,5,1,4
42,373,Tracy Chapman,spotify:track:2M9ro2krNb7nr7HSprkEgo,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,Fast Car,spotify:album:6hmmX5UP4rIvOpGSaPerV8,296800,Tracy Chapman,0.313,0.711,0.292,0.0,0.131,-15.523,0.037,103.951,0.194,76.0,2M9ro2krNb7nr7HSprkEgo,79,['7oPgCQqMMXEXrNau5vxYZP'],1988-04-05,4,0,4
43,375,Labrinth,spotify:track:4L2K7JKseFCBoHMZEAszW0,spotify:artist:2feDdbD5araYcm6JhFHHw7,Jealous,spotify:album:2JgVVnno2fzdmV1BqwdQBi,287693,Jealous,0.874,0.439,0.153,0.0,0.107,-8.95,0.0479,116.76,0.104,55.0,4G92yYrUs0cvY7G41YRI0z,79,['2feDdbD5araYcm6JhFHHw7'],2014-11-23,1,1,3
44,377,Ed Sheeran,spotify:track:3THTZMkVV2onr7xM5yb6WZ,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Nina,spotify:album:6NoBzYmh5gUusGPCfg0pct,225533,x,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,0.809,0.0,3GKSfF6c3Rv3a1knSjxnXa,58,['6eUKZXaKkcviH0Ku9w2n3V'],2014-06-21,6,0,4
45,378,Wretch 32,spotify:track:35AjS3dxL8M9JUFtiId5QJ,spotify:artist:0T2sGLJKge2eaFmZJxX7sq,6 Words,spotify:album:4QUualx5DoYyo6s5NPPObd,213999,6 Words,0.381,0.496,0.726,2.95e-05,0.136,-5.429,0.0655,115.302,0.37,72.0,35AjS3dxL8M9JUFtiId5QJ,50,['0T2sGLJKge2eaFmZJxX7sq'],2014-11-14,5,1,5
46,383,Daniela Andrade,spotify:track:6m0qBDIhzICOwWMPZdgyVK,spotify:artist:0WfaItAbs4vlgIA1cuqGtJ,Crazy in Love,spotify:album:3WtUVBD7BEAfA9NjG6LnBk,227500,Crazy in Love,0.868,0.606,0.326,0.0,0.12,-9.401,0.119,78.906,0.489,66.0,6m0qBDIhzICOwWMPZdgyVK,58,['0WfaItAbs4vlgIA1cuqGtJ'],2014-03-14,7,1,4
47,385,John Mayer,spotify:track:0HLWvLKQWpFdPhgk6ym58n,spotify:artist:0hEurMDQu99nJRq8pTxO14,Who Says,spotify:album:1V5vQRMWTNGmqwxY8jMVou,175480,Battle Studies,0.267,0.584,0.509,0.00252,0.36,-13.109,0.0287,90.457,0.367,62.0,0HLWvLKQWpFdPhgk6ym58n,66,['0hEurMDQu99nJRq8pTxO14'],2009-11-13,2,1,4
48,387,Jack Johnson,spotify:track:2iXdwVdzA0KrI2Q0iZNJbX,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,Better Together,spotify:album:2B9q4KPjOEYu885Keo9dfX,207680,In Between Dreams,0.298,0.871,0.346,9.24e-06,0.108,-9.481,0.0522,110.054,0.659,0.0,7bY74kOw8lqlNXTHCbn6pi,44,['3GBPw9NK25X1Wt2OUvOwY3'],2005-01-01,5,1,4
49,389,Vance Joy,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,spotify:artist:10exVja0key0uqUkk6LJRT,Riptide,spotify:album:6rIbiUMmZJfqJRnXhVxFvg,204280,Dream Your Life Away,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,101.654,0.51,46.0,1KqlVt63Q4bl1VdSlymr5C,56,['10exVja0key0uqUkk6LJRT'],2013-05-21,1,1,4
50,391,Lorde,spotify:track:74fpNVAJrKGQuqHETi4WSt,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,Tennis Court,spotify:album:0rmhjUgoVa17LZuS8xWQ3v,198907,Pure Heroine,0.0126,0.764,0.567,9.51e-05,0.257,-8.585,0.0609,89.988,0.428,36.0,74fpNVAJrKGQuqHETi4WSt,62,['163tK9Wjr9P9DmM0AVK7lm'],2013-09-27,0,1,4
51,392,Fleetwood Mac,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,spotify:artist:08GQAI4eElDnROBrJRGE0X,Landslide,spotify:album:5VIQ3VaAoRKOEpJ0fewdvo,199493,Fleetwood Mac,0.883,0.414,0.161,0.000223,0.117,-22.32,0.0318,159.375,0.423,66.0,5ihS6UUlyQAfmp48eSkxuQ,79,['08GQAI4eElDnROBrJRGE0X'],1975-07-11,7,0,4
52,394,BRKN RBTZ,spotify:track:4ALikj1sV7WlCwnsAyZczK,spotify:artist:6B0kDtFzvP8POAh15fC5dh,Marry Your Daughter,spotify:album:60GXLpQRB6W9I8fxy3u8WD,226064,Marry Your Daughter - Single,0.163,0.518,0.311,0.0,0.108,-14.73,0.0384,154.933,0.304,78.0,4ALikj1sV7WlCwnsAyZczK,59,['6B0kDtFzvP8POAh15fC5dh'],2012-02-14,11,1,3
53,413,Justin Bieber,spotify:track:3ZsOYk34IQMrH4B1PBdofL,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Boyfriend - Acoustic Version,spotify:album:4yz9rO7Q1UC2rK5eLOxmS7,187680,Believe Acoustic,0.843,0.752,0.292,0.0,0.1,-8.967,0.0928,89.831,0.621,61.0,3ZsOYk34IQMrH4B1PBdofL,53,['1uNFoZAHBGtllmzznpCI3s'],2013-01-01,9,0,4
54,416,Usher,spotify:track:68vgtRHr7iZHpzGpon6Jlo,spotify:artist:23zg3TcAtWQy7J6upgbUnj,My Boo,spotify:album:1RM6MGv6bcl6NrAG8PGoZk,223440,Confessions,0.257,0.662,0.507,0.0,0.0465,-8.238,0.118,86.412,0.676,0.0,68vgtRHr7iZHpzGpon6Jlo,80,"['23zg3TcAtWQy7J6upgbUnj', '3DiDSECUqqY1AuBP8qtaIa']",2004-03-23,5,1,4
55,423,Justin Bieber,spotify:track:3pzjHKrQSvXGHQ98dx18HI,spotify:artist:1uNFoZAHBGtllmzznpCI3s,What Do You Mean?,spotify:album:7fZH0aUAjY3ay25obOUf2a,205680,Purpose,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,0.793,64.0,0NpZenGEA81m99MX1Q677C,56,['1uNFoZAHBGtllmzznpCI3s'],2015-11-13,5,0,4
56,426,Godsmack,spotify:track:44NRdYQw7P0GWuiunRv3hr,spotify:artist:6gZq1Q6bdOxsUPUG1TaFbF,I Stand Alone,spotify:album:7xhudjssYTY8qRl1s9R3wu,246040,Faceless,2.86e-05,0.217,0.92,0.0,0.102,-4.479,0.0628,167.169,0.376,0.0,44NRdYQw7P0GWuiunRv3hr,69,['6gZq1Q6bdOxsUPUG1TaFbF'],2003-04-08,8,1,4
57,428,Drowning Pool,spotify:track:3ENHpbTuY72FukZbwGP6bc,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Tear Away,spotify:album:089oyV5caclve3ap934iRw,254200,Sinner,0.00055,0.611,0.648,0.0028,0.0846,-4.579,0.0441,132.983,0.457,0.0,3ENHpbTuY72FukZbwGP6bc,64,['1E4r4z7ivGUcSAnCbINJ9v'],2001-01-01,0,1,4
58,429,Drowning Pool,spotify:track:4AaZtoVREGSOTMzdzLoCGK,spotify:artist:1E4r4z7ivGUcSAnCbINJ9v,Sinner,spotify:album:089oyV5caclve3ap934iRw,147333,Sinner,0.000436,0.576,0.96,3.23e-05,0.0659,-2.605,0.0759,120.95,0.532,2.0,4AaZtoVREGSOTMzdzLoCGK,55,['1E4r4z7ivGUcSAnCbINJ9v'],2001-01-01,4,1,4
59,430,Mudvayne,spotify:track:2ZD2yg66kxuyC3QCXwMfoc,spotify:artist:2Pfv2w8a20xzC7Dr7QXRqM,Dig,spotify:album:6H9as9N1VRLglm7UTT47Zs,162293,Original Album Classics,9.62e-05,0.623,0.983,0.0617,0.261,-3.548,0.151,134.975,0.271,71.0,3H0ZY55seypgo0zXI6zwRk,49,['2Pfv2w8a20xzC7Dr7QXRqM'],2000-08-14,11,0,4
60,431,Mushroomhead,spotify:track:24CeaRaJHiMKFAVZTCu8Y0,spotify:artist:18absyD7lQaXUDBXnyzU8M,Sun Doesn't Rise,spotify:album:3N1Ehmz49Lavsi23cKFWDv,193813,XIII,8.82e-05,0.376,0.988,6.36e-05,0.346,-2.375,0.216,192.153,0.507,55.0,24CeaRaJHiMKFAVZTCu8Y0,59,['18absyD7lQaXUDBXnyzU8M'],2003-01-01,5,1,4
61,437,Slipknot,spotify:track:61mWefnWQOLf90gepjOCb3,spotify:artist:05fG473iIaoy82BF1aGhL8,Duality,spotify:album:4ZDBQSIDIZRUBOG2OHcN3T,252613,Vol. 3: The Subliminal Verses [Special Package],0.000237,0.354,0.982,0.000294,0.204,-3.026,0.168,143.772,0.194,0.0,61mWefnWQOLf90gepjOCb3,78,['05fG473iIaoy82BF1aGhL8'],2004,4,0,4
